game[155] stats={'a': -0.5, 'b': 0, 'c': 0.0, 'd': 0.0, 'e': -0.5} media=37.4
game[156] stats={'a': 0.0, 'b': 0, 'c': 0.0, 'd': 0.0, 'e': -0.5} media=19.8
game[157] stats={'a': -1, 'b': 0.5, 'c': 0.0, 'd': 0.0, 'e': -0.5} media=41.2
game[158] stats={'a': -0.5, 'b': 0.5, 'c': 0.0, 'd': 0.0, 'e': -0.5} media=69.4
game[159] stats={'a': 0.0, 'b': 0.5, 'c': 0.0, 'd': 0.0, 'e': -0.5} media=17.8
game[160] stats={'a': -1, 'b': 1.0, 'c': 0.0, 'd': 0.0, 'e': -0.5} media=47.0
game[161] stats={'a': -0.5, 'b': 1.0, 'c': 0.0, 'd': 0.0, 'e': -0.5} media=56.6
game[162] stats={'a': 0.0, 'b': 1.0, 'c': 0.0, 'd': 0.0, 'e': -0.5} media=25.6
game[163] stats={'a': -1, 'b': 0, 'c': -1, 'd': -1, 'e': 0.0} media=27.2
game[164] stats={'a': -0.5, 'b': 0, 'c': -1, 'd': -1, 'e': 0.0} media=1.8
game[165] stats={'a': 0.0, 'b': 0, 'c': -1, 'd': -1, 'e': 0.0} media=0.0
game[166] stats={'a': -1, 'b': 0.5, 'c': -1, 'd': -1, 'e': 0.0} media=16.8
game[167] stats={'a': -0.5, 'b': 0.5, 'c': -1, 'd': -1, 'e': 0.0} media=5.2
game[168] stats={'a': 0.0, 'b': 0.5, 'c': -1, 'd': -1, 'e': 0.0} media=0.0
game[169] stats={'a': -1, 'b': 1.0, 'c': -1, 'd': -1, 'e': 0.0} media=9.2
game[170] stats={'a': -0.5, 'b': 1.0, 'c': -1, 'd': -1, 'e': 0.0} media=0.2
game[171] stats={'a': 0.0, 'b': 1.0, 'c': -1, 'd': -1, 'e': 0.0} media=0.0
game[172] stats={'a': -1, 'b': 0, 'c': -0.5, 'd': -1, 'e': 0.0} media=34.0
game[173] stats={'a': -0.5, 'b': 0, 'c': -0.5, 'd': -1, 'e': 0.0} media=12.2
game[174] stats={'a': 0.0, 'b': 0, 'c': -0.5, 'd': -1, 'e': 0.0} media=0.0
game[175] stats={'a': -1, 'b': 0.5, 'c': -0.5, 'd': -1, 'e': 0.0} media=19.2
game[176] stats={'a': -0.5, 'b': 0.5, 'c': -0.5, 'd': -1, 'e': 0.0} media=29.0
game[177] stats={'a': 0.0, 'b': 0.5, 'c': -0.5, 'd': -1, 'e': 0.0} media=0.2
game[178] stats={'a': -1, 'b': 1.0, 'c': -0.5, 'd': -1, 'e': 0.0} media=12.4
game[179] stats={'a': -0.5, 'b': 1.0, 'c': -0.5, 'd': -1, 'e': 0.0} media=12.8
game[180] stats={'a': 0.0, 'b': 1.0, 'c': -0.5, 'd': -1, 'e': 0.0} media=0.2
game[181] stats={'a': -1, 'b': 0, 'c': 0.0, 'd': -1, 'e': 0.0} media=21.0
game[182] stats={'a': -0.5, 'b': 0, 'c': 0.0, 'd': -1, 'e': 0.0} media=21.6
game[183] stats={'a': 0.0, 'b': 0, 'c': 0.0, 'd': -1, 'e': 0.0} media=0.0
game[184] stats={'a': -1, 'b': 0.5, 'c': 0.0, 'd': -1, 'e': 0.0} media=12.8
game[185] stats={'a': -0.5, 'b': 0.5, 'c': 0.0, 'd': -1, 'e': 0.0} media=21.6
game[186] stats={'a': 0.0, 'b': 0.5, 'c': 0.0, 'd': -1, 'e': 0.0} media=0.4
game[187] stats={'a': -1, 'b': 1.0, 'c': 0.0, 'd': -1, 'e': 0.0} media=11.0
game[188] stats={'a': -0.5, 'b': 1.0, 'c': 0.0, 'd': -1, 'e': 0.0} media=9.4
game[189] stats={'a': 0.0, 'b': 1.0, 'c': 0.0, 'd': -1, 'e': 0.0} media=0.0
game[190] stats={'a': -1, 'b': 0, 'c': -1, 'd': -0.5, 'e': 0.0} media=18.6
game[191] stats={'a': -0.5, 'b': 0, 'c': -1, 'd': -0.5, 'e': 0.0} media=2.6
game[192] stats={'a': 0.0, 'b': 0, 'c': -1, 'd': -0.5, 'e': 0.0} media=0.0
game[193] stats={'a': -1, 'b': 0.5, 'c': -1, 'd': -0.5, 'e': 0.0} media=16.0
game[194] stats={'a': -0.5, 'b': 0.5, 'c': -1, 'd': -0.5, 'e': 0.0} media=1.8
game[195] stats={'a': 0.0, 'b': 0.5, 'c': -1, 'd': -0.5, 'e': 0.0} media=0.0
game[196] stats={'a': -1, 'b': 1.0, 'c': -1, 'd': -0.5, 'e': 0.0} media=15.4
game[197] stats={'a': -0.5, 'b': 1.0, 'c': -1, 'd': -0.5, 'e': 0.0} media=9.8
game[198] stats={'a': 0.0, 'b': 1.0, 'c': -1, 'd': -0.5, 'e': 0.0} media=0.0
game[199] stats={'a': -1, 'b': 0, 'c': -0.5, 'd': -0.5, 'e': 0.0} media=26.4
game[200] stats={'a': -0.5, 'b': 0, 'c': -0.5, 'd': -0.5, 'e': 0.0} media=15.6
game[201] stats={'a': 0.0, 'b': 0, 'c': -0.5, 'd': -0.5, 'e': 0.0} media=0.0
game[202] stats={'a': -1, 'b': 0.5, 'c': -0.5, 'd': -0.5, 'e': 0.0} media=16.2
game[203] stats={'a': -0.5, 'b': 0.5, 'c': -0.5, 'd': -0.5, 'e': 0.0} media=22.0
game[204] stats={'a': 0.0, 'b': 0.5, 'c': -0.5, 'd': -0.5, 'e': 0.0} media=0.0
game[205] stats={'a': -1, 'b': 1.0, 'c': -0.5, 'd': -0.5, 'e': 0.0} media=14.8
game[206] stats={'a': -0.5, 'b': 1.0, 'c': -0.5, 'd': -0.5, 'e': 0.0} media=22.8
